Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-Web_Regession,Chrome 147.0.7727.138,,,13-05-2026 16:24:32,13-05-2026 16:26:31,1m - 59.379s,FAILED
,,,,,,,
Test Cases/Web/TC-03-Register_Valid,Chrome 147.0.7727.138,,,13-05-2026 16:24:33,13-05-2026 16:24:50,17.807s,PASSED
"openBrowser(""https://parabank.parasoft.com"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:33,13-05-2026 16:24:39,5.699s,PASSED
"click(findTestObject(""Web/Register/link_register""))",Chrome 147.0.7727.138,,,13-05-2026 16:24:39,13-05-2026 16:24:40,0.871s,PASSED
"setText(findTestObject(""Web/Register/txt_firstname""), ""haryadi"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:40,13-05-2026 16:24:41,0.824s,PASSED
"setText(findTestObject(""Web/Register/txt_lastname""), ""haryanto"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:41,13-05-2026 16:24:41,0.653s,PASSED
"setText(findTestObject(""Web/Register/txt_address""), ""terin 1"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:41,13-05-2026 16:24:42,0.647s,PASSED
"setText(findTestObject(""Web/Register/txt_city""), ""Depok"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:42,13-05-2026 16:24:43,0.650s,PASSED
"setText(findTestObject(""Web/Register/txt_state""), ""ina"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:43,13-05-2026 16:24:43,0.652s,PASSED
"setText(findTestObject(""Web/Register/txt_zipcode""), ""11450"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:43,13-05-2026 16:24:44,0.690s,PASSED
"setText(findTestObject(""Web/Register/txt_phonenumber""), ""628527323222"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:44,13-05-2026 16:24:45,0.658s,PASSED
"setText(findTestObject(""Web/Register/txt_ssn""), ""12321311"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:45,13-05-2026 16:24:45,0.656s,PASSED
"setText(findTestObject(""Web/Register/txt_username""), ""Haryadi01"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:45,13-05-2026 16:24:46,0.692s,PASSED
"setText(findTestObject(""Web/Register/txt_password""), ""qwerty123"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:46,13-05-2026 16:24:47,0.651s,PASSED
"setText(findTestObject(""Web/Register/txt_confirmpassword""), ""qwerty123"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:47,13-05-2026 16:24:47,0.625s,PASSED
"click(findTestObject(""Web/Register/btn_register""))",Chrome 147.0.7727.138,,,13-05-2026 16:24:47,13-05-2026 16:24:48,0.700s,PASSED
"waitForElementPresent(findTestObject(""Web/Register/lbl_registerberhasil""), 5)",Chrome 147.0.7727.138,,,13-05-2026 16:24:48,13-05-2026 16:24:49,0.539s,PASSED
"verifyElementVisible(findTestObject(""Web/Register/lbl_registerberhasil""))",Chrome 147.0.7727.138,,,13-05-2026 16:24:49,13-05-2026 16:24:49,0.330s,PASSED
"value = getText(findTestObject(""Web/Register/lbl_registerberhasil""))",Chrome 147.0.7727.138,,,13-05-2026 16:24:49,13-05-2026 16:24:49,0.309s,PASSED
"assert value.contains(""Welcome"") : ""Seharusnya kehalaman Pendaftaran berhasil!""",Chrome 147.0.7727.138,,,13-05-2026 16:24:49,13-05-2026 16:24:49,0.037s,PASSED
"takeScreenshot(screenshotPath + ""TC-03-Register Valid.png"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:49,13-05-2026 16:24:50,0.637s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,13-05-2026 16:24:50,13-05-2026 16:24:50,0.537s,PASSED
"println(""TC-03-Register_Valid Pass - Register Valid berhasil!"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:50,13-05-2026 16:24:50,0.005s,PASSED
,,,,,,,
Test Cases/Web/TC-04-Register_Invalid,Chrome 147.0.7727.138,,,13-05-2026 16:24:50,13-05-2026 16:25:04,14.072s,PASSED
"openBrowser(""https://parabank.parasoft.com"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:51,13-05-2026 16:24:54,3.635s,PASSED
"click(findTestObject(""Web/Register/link_register""))",Chrome 147.0.7727.138,,,13-05-2026 16:24:54,13-05-2026 16:24:55,1.034s,PASSED
"setText(findTestObject(""Web/Register/txt_firstname""), ""haryadi"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:55,13-05-2026 16:24:56,0.818s,PASSED
"setText(findTestObject(""Web/Register/txt_lastname""), ""haryanto"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:56,13-05-2026 16:24:57,0.619s,PASSED
"setText(findTestObject(""Web/Register/txt_address""), ""terin 1"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:57,13-05-2026 16:24:57,0.632s,PASSED
"setText(findTestObject(""Web/Register/txt_city""), ""Depok"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:57,13-05-2026 16:24:58,0.614s,PASSED
"setText(findTestObject(""Web/Register/txt_state""), ""ina"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:58,13-05-2026 16:24:59,0.634s,PASSED
"setText(findTestObject(""Web/Register/txt_zipcode""), ""11450"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:59,13-05-2026 16:24:59,0.618s,PASSED
"setText(findTestObject(""Web/Register/txt_phonenumber""), ""628527323222"")",Chrome 147.0.7727.138,,,13-05-2026 16:24:59,13-05-2026 16:25:00,0.636s,PASSED
"setText(findTestObject(""Web/Register/txt_ssn""), ""12321311"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:00,13-05-2026 16:25:00,0.631s,PASSED
"setText(findTestObject(""Web/Register/txt_username""), ""Haryadi01"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:00,13-05-2026 16:25:01,0.638s,PASSED
"setText(findTestObject(""Web/Register/txt_password""), ""qwerty123"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:01,13-05-2026 16:25:02,0.628s,PASSED
"setText(findTestObject(""Web/Register/txt_confirmpassword""), ""qwerty123"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:02,13-05-2026 16:25:02,0.591s,PASSED
"click(findTestObject(""Web/Register/btn_register""))",Chrome 147.0.7727.138,,,13-05-2026 16:25:02,13-05-2026 16:25:03,0.651s,PASSED
"waitForElementPresent(findTestObject(""Web/Register/lbl_failRegister""), 5)",Chrome 147.0.7727.138,,,13-05-2026 16:25:03,13-05-2026 16:25:03,0.401s,PASSED
"verifyElementText(findTestObject(""Web/Register/lbl_failRegister""), ""This username already exists."")",Chrome 147.0.7727.138,,,13-05-2026 16:25:03,13-05-2026 16:25:04,0.283s,PASSED
"takeScreenshot(screenshotPath + ""TC-04-Register Invalid.png"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:04,13-05-2026 16:25:04,0.397s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,13-05-2026 16:25:04,13-05-2026 16:25:04,0.433s,PASSED
"println(""TC-04-Register_Invalid Pass - Register Invalid berhasil!"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:04,13-05-2026 16:25:04,0.002s,PASSED
